;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2024-04-23_12:22:46:183170;1713867766.1831708;59.88157283333334;10.744337833333333;0.0;59.88157283333334;10.744337833333333;0.0;1713867766.182144;113.061;1775130.388150764;0;0.0;0.0;0.0;0.0;0.0;0.0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1713867763.0864122;3.0967586040496826;0.0;0.0;-0.0;-0.0;;;;;;;;;;;
2024-04-23_12:22:49:210910;1713867769.2088802;59.88157243333333;10.744339516666667;0.0;59.88157243333333;10.744339516666667;0.0;1713867769.2088802;100.979;0.03444919370332873;0.92;1.173;0.59;127.593;4.539;3.173;-1.636;59.88157283333334;10.744337833333333;0.0;-3015.6019202657008;1393.2058943156221;0.8640905688080238;1713867766.1831708;3.025709390640259;0.0;0.0;-0.0;-0.0;484.1564236386161;1038.4008610869244;3055.6019202657008;-1423.2058943156221;3370.7889451501064;-0.43589010566600805;2.226917952497125;-159.49868943533875;-40.50131056466125;40.0;-30.0
2024-04-23_12:22:49:319483;1713867769.3165684;59.8815723;10.74434115;0.0;59.8815723;10.74434115;0.0;1713867769.3165684;98.575;0.8604838868309286;0.92;-0.737;0.808;127.803;-9.052;-2.999;0.652;59.88157283333334;10.744337833333333;0.0;-0.04456410817880884;0.09426550879643879;1.5106661546693267e-09;1713867769.2088802;0.10768818855285645;0.0;0.0;-0.0;-0.0;0.954929658551372;860.7424686554831;40.04435179230491;-29.963938133183845;50.013875063977416;-0.6423922049114862;2.230583143926313;-60.306475523275715;-47.295470946412905;39.9997876841261;-29.869672624387405
2024-04-23_12:22:49:427238;1713867769.4252412;59.88157221666667;10.7443421;0.0;59.88157221666667;10.7443421;0.0;1713867769.4252412;105.797;0.49693544775679027;0.92;-1.508;0.265;127.268;4.954;1.728;-2.001;59.88157283333334;10.744337833333333;0.0;-0.05941880691057377;0.1857310528559833;2.8958904961517984e-09;1713867769.3165684;0.1086728572845459;0.0;0.0;-0.0;-0.0;0.954929658551372;842.1767627692905;40.05857616046033;-29.926094757307474;50.00260664632142;-0.6416158081540224;2.2212456324281433;-62.56273246846144;-43.36945274782533;39.99915735354976;-29.74036370445149
2024-04-23_12:22:49:535695;1713867769.533702;59.881571916666665;10.74434375;0.0;59.881571916666665;10.74434375;0.0;1713867769.533702;105.698;0.9059329802712633;0.92;0.817;1.637;127.135;0.411;0.947;-0.409;59.88157283333334;10.744337833333333;0.0;-0.06870299300838133;0.23893040021426823;4.788187499271679e-09;1713867769.4252412;0.10846066474914551;0.0;0.0;-0.0;-0.0;0.954929658551372;844.4019707215211;40.066803595317495;-29.849125054484805;49.96317660901896;-0.6402830910046755;2.218924344522991;-63.33189255890525;-43.42588229015007;39.998100602309115;-29.610194654270536
2024-04-23_12:22:49:643682;1713867769.6407506;59.8815717;10.7443454;0.0;59.8815717;10.7443454;0.0;1713867769.6407506;94.715;0.892116262115232;0.92;-0.733;0.561;126.62;-6.558;-5.18;-0.979;59.88157283333334;10.744337833333333;0.0;-0.10212606838816075;0.3313292688379325;8.451812562315641e-09;1713867769.533702;0.10704874992370605;0.0;0.0;-0.0;-0.0;0.954929658551372;848.2437961488449;40.098754608086494;-29.81199752766607;49.96664204956248;-0.63930520229838;2.2099358988752202;-65.5717309599317;-43.16535191306217;39.996628539698335;-29.480668258828135
2024-04-23_12:22:49:753287;1713867769.751293;59.881571533333336;10.7443472;0.0;59.881571533333336;10.7443472;0.0;1713867769.7503743;108.18;0.9349692273177718;0.92;-1.647;0.132;126.665;2.966;3.233;0.266;59.88157283333334;10.744337833333333;0.0;-0.12626495124573422;0.42372813835367756;1.502668095509918e-08;1713867769.6407506;0.11054229736328125;0.0;0.0;-0.0;-0.0;0.954929658551372;849.3166206846837;40.12096926861378;-29.772862125796518;49.961139841027844;-0.6384112938030704;2.2107212970386176;-65.58869801852244;-43.33346465540589;39.99470431736804;-29.34913398744284
2024-04-23_12:22:49:863005;1713867769.8609412;59.88157128333334;10.744348766666667;0.0;59.88157128333334;10.744348766666667;0.0;1713867769.8609412;105.135;0.832504018999961;0.92;1.03;1.349;126.021;4.181;-0.414;-0.95;59.88157283333334;10.744337833333333;0.0;-0.14483331617658693;0.5245269050096149;2.194894672957748e-08;1713867769.751293;0.10964822769165039;0.0;0.0;-0.0;-0.0;0.954929658551372;853.4265966625661;40.137181247225634;-29.74215425600097;49.95587110901378;-0.6377242713117474;2.199481376655774;-68.25615378673197;-42.95157713658702;39.992347931049046;-29.217627350991354
2024-04-23_12:22:49:970748;1713867769.9687908;59.881571;10.744350466666667;0.0;59.881571;10.744350466666667;0.0;1713867769.9678373;98.614;0.9382543733003652;0.92;-0.756;0.355;126.069;-9.465;-1.041;-0.116;59.88157283333334;10.744337833333333;0.0;-0.17268587139806602;0.6122591678451694;3.156127308112655e-08;1713867769.8609412;0.1078495979309082;0.0;0.0;-0.0;-0.0;0.954929658551372;854.6901593708168;40.162292933063334;-29.70048778552863;49.95126373115624;-0.6367547712141172;2.2003191346967315;-68.27926924042106;-43.1496220538374;39.98960706166527;-29.08822861768346
2024-04-23_12:22:50:079328;1713867770.0773365;59.88157076666667;10.744352366666666;0.0;59.88157076666667;10.744352366666666;0.0;1713867770.0773365;114.031;1.0002661306321714;0.92;-1.326;1.242;125.583;7.317;1.614;-0.638;59.88157283333334;10.744337833333333;0.0;-0.20425209835879904;0.7074580077088841;4.242005206822608e-08;1713867769.9687908;0.10854578018188477;0.0;0.0;-0.0;-0.0;0.954929658551372;857.9202995775198;40.19067702224991;-29.665430270064725;49.95326088069606;-0.6358526446964746;2.191836834532039;-70.3863192775146;-42.848348943968475;39.98642492389111;-28.95797226235584
2024-04-23_12:22:50:188361;1713867770.1853514;59.881570483333334;10.7443533;0.0;59.881570483333334;10.7443533;0.0;1713867770.1853514;105.658;0.5652807893313143;0.92;0.806;0.298;125.751;-0.03;-5.424;0.497;59.88157283333334;10.744337833333333;0.0;-0.23024780808451714;0.8138567111849048;5.6455020866486016e-08;1713867770.0773365;0.10801482200622559;0.0;0.0;-0.0;-0.0;0.954929658551372;858.1298202090165;40.21308609945169;-29.642258586235982;49.957539848707476;-0.6352130799552944;2.1947689876753893;-69.8783610457317;-43.08350529759001;39.982838291367166;-28.828401875051078
2024-04-23_12:22:50:296806;1713867770.2957673;59.88157005;10.744355333333333;0.0;59.88157005;10.744355333333333;0.0;1713867770.2957673;104.663;1.1201026549913642;0.92;-0.88;-0.152;125.502;-5.495;3.682;-0.722;59.88157283333334;10.744337833333333;0.0;-0.2618140387776956;0.8661227459955904;6.407188699042443e-08;1713867770.1853514;0.11041593551635742;0.0;0.0;-0.0;-0.0;0.954929658551372;859.8463571789487;40.24055207895981;-29.562088730144893;49.93214517431067;-0.6335942971987878;2.1904231178379234;-71.17898811974062;-42.85282795632175;39.978738040182115;-28.695965984149304
2024-04-23_12:22:50:406819;1713867770.4048228;59.88156993333333;10.744356466666666;0.0;59.88156993333333;10.744356466666666;0.0;1713867770.4038622;108.934;0.5993177164969068;0.92;-1.264;0.485;125.472;-1.862;5.755;0.251;59.88157283333334;10.744337833333333;0.0;-0.31009179541636206;0.9799880334686201;8.248697622170731e-08;1713867770.2957673;0.1090555191040039;0.0;0.0;-0.0;-0.0;0.954929658551372;860.9909758192672;40.28435136532959;-29.545215634375133;49.9574692294061;-0.632803038727428;2.189899519062325;-71.5106806675083;-42.91088031287556;39.97425956991323;-28.565227600906514
2024-04-23_12:22:50:515520;1713867770.5135674;59.88156993333333;10.744356466666666;0.0;59.88156993333333;10.744356466666666;0.0;1713867770.5125194;114.474;0.0;0.92;-1.238;0.946;125.502;0.999;5.639;0.646;59.88157283333334;10.744337833333333;0.0;-0.32308964268242235;1.043453928844212;9.283474985966045e-08;1713867770.4048228;0.10874462127685547;0.0;0.0;-0.0;-0.0;0.954929658551372;861.2332597883723;40.29245989598667;-29.478384743703156;49.924517940261424;-0.6316275425467565;2.1904231178379234;-71.60863846051657;-42.91224029941634;39.96937025330424;-28.434930814858944
2024-04-23_12:22:50:624837;1713867770.6228435;59.8815697;10.74435745;0.0;59.8815697;10.74435745;0.0;1713867770.6218448;115.447;0.5569948786734534;0.92;-0.856;1.46;125.557;3.972;3.348;0.533;59.88157283333334;10.744337833333333;0.0;-0.32308964268242235;1.043453928844212;9.283474985966045e-08;1713867770.5135674;0.10927605628967285;0.0;0.0;-0.0;-0.0;0.954929658551372;861.3885534884453;40.287111878450546;-29.347303363879245;49.842909207211704;-0.6295683967080421;2.1913830489265202;-71.73511203853081;-42.88796163065773;39.96402223576813;-28.303849435035033
2024-04-23_12:22:50:733281;1713867770.7312899;59.8815697;10.74435745;0.0;59.8815697;10.74435745;0.0;1713867770.7303703;113.134;0.0;0.92;-0.505;1.571;125.575;4.176;-0.566;0.099;59.88157283333334;10.744337833333333;0.0;-0.34908535805841595;1.098519931199407;1.0359194022036e-07;1713867770.6228435;0.10844635963439941;0.0;0.0;-0.0;-0.0;0.954929658551372;861.7909790121;40.307373525893006;-29.272265103337126;49.81515697893472;-0.6281113691748627;2.1916972081918793;-71.94989431094115;-42.86968674357788;39.95828816783459;-28.173745172137718
2024-04-23_12:22:50:841287;1713867770.8392906;59.88156943333333;10.744358416666667;0.0;59.88156943333333;10.744358416666667;0.0;1713867770.8392906;108.27;0.566923096964007;0.92;-0.041;1.188;125.563;1.798;-3.948;-0.051;59.88157283333334;10.744337833333333;0.0;-0.34908535805841595;1.098519931199407;1.0359194022036e-07;1713867770.7312899;0.1080007553100586;0.0;0.0;-0.0;-0.0;0.954929658551372;862.3802764101806;40.30124649757187;-29.14280515589305;49.734229275343104;-0.6260775429654117;2.19148776868164;-72.33136843955279;-42.81653463961311;39.95216113951345;-28.044285224693642
2024-04-23_12:22:50:952278;1713867770.949286;59.88156943333333;10.744358416666667;0.0;59.88156943333333;10.744358416666667;0.0;1713867770.949286;105.391;0.0;0.92;-0.03;0.807;125.548;-0.178;-4.921;-0.104;59.88157283333334;10.744337833333333;0.0;-0.3787947472994958;1.1526526132844097;1.1543905351074635e-07;1713867770.8392906;0.10999536514282227;0.0;0.0;-0.0;-0.0;0.954929658551372;863.1290214397028;40.3242847309871;-29.065111005767864;49.70743019754016;-0.6245393859611943;2.191225969293841;-72.6931695783314;-42.79763851139402;39.94548998368761;-27.912458392483455
