;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N
2024-03-07_15:29:47:180755;59.90854936666667;10.720146066666667;0.0;59.90854936666667;10.720146066666667;0.0;1709821787.1807554;129.58;10684439.364052234;0;0.0;0.0;0.0;0.0;0.0;0.0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;;;;;;;
2024-03-07_15:29:53:209362;59.90854915;10.720146533333333;0.0;59.90854915;10.720146533333333;0.0;1709821793.2083647;125.465;0.005899532018715305;0;-1.751;0.244;115.707;0.203;0.388;1.328;59.90854936666667;10.720146066666667;0.0;-10.394421827923091;38.45247462664408;0.0001240839581537756;6.394421827923091;-44.45247462664408;44.91003374465282;-1.4279278766199186;2.019468117605079;-157.46316030568119;42.53683969431883
2024-03-07_15:29:53:318575;59.90854891666667;10.7201473;0.0;59.90854891666667;10.7201473;0.0;1709821793.3170254;121.849;0.4616202299817357;0;0.253;0.613;116.04;6.761;0.953;0.597;59.90854936666667;10.720146066666667;0.0;-0.02413899250342634;0.026111835026560073;-1.7953794406028178e-09;-4.015861007496573;-6.10611183502656;7.308333693351913;-2.152550803371254;2.02528006401422;-157.70834233379782;32.2703665245128
2024-03-07_15:29:53:427532;59.908548683333336;10.720148233333333;0.0;59.908548683333336;10.720148233333333;0.0;1709821793.4258623;116.659;0.5359952432213186;0;1.012;1.297;116.249;-3.068;2.344;0.621;59.90854936666667;10.720146066666667;0.0;-0.050134828935705866;0.06900985033952745;-5.381047794850158e-10;-4.029865171064294;-6.229009850339527;7.4189202052983365;-2.145025266157495;2.028927802150888;-160.4730051324584;33.01787207020899
2024-03-07_15:29:53:535886;59.90854851666667;10.720148966666667;0.0;59.90854851666667;10.720148966666667;0.0;1709821793.5348907;135.201;0.4130917543599465;0;-0.856;1.881;116.447;-2.508;-0.281;0.442;59.90854936666667;10.720146066666667;0.0;-0.076130664282192;0.12123352169565416;2.7197389479427514e-10;-4.043869335717808;-6.361233521695654;7.537782904933206;-2.1370567648212977;2.032383554069837;-163.44457262333015;33.77252750971621
2024-03-07_15:29:53:646324;59.90854828333333;10.720149416666667;0.0;59.90854828333333;10.720149416666667;0.0;1709821793.64533;149.709;0.3276992014096782;0;-0.171;0.806;116.659;3.796;-4.556;0.911;59.90854936666667;10.720146066666667;0.0;-0.094699119815579;0.1622664070034783;3.0862766370320927e-09;-4.065300880184421;-6.482266407003479;7.651565135172936;-2.1309344033690145;2.036083652084065;-165.49001444541233;34.509985554587686
2024-03-07_15:29:53:754674;59.908547983333335;10.7201499;0.0;59.908547983333335;10.7201499;0.0;1709821793.7531345;130.175;0.39881732995088465;0;0.084;-0.215;117.084;-2.246;0.398;1.109;59.90854936666667;10.720146066666667;0.0;-0.12069495438035714;0.18744567822726893;3.2729477947301966e-09;-4.079305045619643;-6.58744567822727;7.7482365876896795;-2.125253337240164;2.043501301405041;-164.8287869207526;35.17121307924739
2024-03-07_15:29:53:862797;59.9085479;10.720150183333333;0.0;59.9085479;10.720150183333333;0.0;1709821793.861828;137.537;0.16902649244464868;0;-0.56;0.978;117.405;0.885;3.048;0.816;59.90854936666667;10.720146066666667;0.0;-0.15411817374110365;0.2144900814840185;5.026271676644711e-09;-4.0858818262588965;-6.694490081484019;7.842871141950544;-2.1187804796525382;2.0491038083039426;-164.12941464593808;35.870585354061916
2024-03-07_15:29:53:972402;59.908547633333335;10.7201508;0.0;59.908547633333335;10.7201508;0.0;1709821793.971426;143.694;0.4154541458348365;0;0.385;1.227;117.732;1.443;-0.969;0.929;59.90854936666667;10.720146066666667;0.0;-0.16340240040000112;0.2303436967471225;5.460781188348918e-09;-4.1165975995999995;-6.790343696747123;7.9407268758587755;-2.1157935486414874;2.054811034957964;-163.47561571248124;36.52438428751875
2024-03-07_15:29:54:081662;59.908547266666666;10.720151433333333;0.0;59.908547266666666;10.720151433333333;0.0;1709821794.0804808;131.225;0.4958924709382934;0;-0.273;0.921;117.993;-4.187;-0.844;0.874;59.90854936666667;10.720146066666667;0.0;-0.1931119253237964;0.26484862531553394;7.07412414757691e-09;-4.126888074676204;-6.904848625315535;8.04413697791295;-2.1095080009720113;2.059366344305669;-162.75793483598133;37.24206516401866
2024-03-07_15:29:54:191160;59.90854708333333;10.720152083333334;0.0;59.90854708333333;10.720152083333334;0.0;1709821794.1895864;136.567;0.38231769121189335;0;-1.178;0.668;118.34;2.179;0.098;0.759;59.90854936666667;10.720146066666667;0.0;-0.23396252513817006;0.3002861206004744;1.1834010341105206e-08;-4.12603747486183;-7.020286120600475;8.143009422753964;-2.1021454116995693;2.06542263681009;-162.04210307545705;37.95789692454294
2024-03-07_15:29:54:300000;59.90854688333334;10.720152733333334;0.0;59.90854688333334;10.720152733333334;0.0;1709821794.2990022;134.639;0.3898246329974618;0;0.426;1.157;118.587;4.146;1.591;0.75;59.90854936666667;10.720146066666667;0.0;-0.25438782271330707;0.3366561806013397;1.3412546642777023e-08;-4.145612177286694;-7.13665618060134;8.253360634588981;-2.09704582808616;2.0697336000625155;-161.33933095811466;38.66066904188534
2024-03-07_15:29:54:409372;59.90854675;10.720153283333334;0.0;59.90854675;10.720153283333334;0.0;1709821794.4078162;123.1;0.31404294862585785;0;0.143;0.984;118.838;-3.698;-1.82;0.689;59.90854936666667;10.720146066666667;0.0;-0.27666996532722987;0.37302624118186156;1.524776896411062e-08;-4.163330034672771;-7.253026241181862;8.362996271246393;-2.091888396961318;2.074114376485021;-160.6327458980205;39.36725410197951
2024-03-07_15:29:54:518167;59.9085466;10.720153983333333;0.0;59.9085466;10.720153983333333;0.0;1709821794.5171704;153.869;0.3894126265549552;0;-0.416;0.828;119.048;2.07;1.182;0.467;59.90854936666667;10.720146066666667;0.0;-0.29152472630053783;0.4038009076533172;1.7993440903918412e-08;-4.188475273699463;-7.363800907653318;8.471652077720591;-2.0879530482749407;2.0777795679142095;-159.93783455481332;40.062165445186686
2024-03-07_15:29:54:626633;59.90854651666667;10.72015425;0.0;59.90854651666667;10.72015425;0.0;1709821794.6256375;141.934;0.16201862544111523;0;0.339;1.135;119.205;-0.185;-0.418;0.703;59.90854936666667;10.720146066666667;0.0;-0.30823633184197813;0.44296866507253085;2.2344925298956042e-08;-4.211763668158023;-7.482968665072532;8.586837208126942;-2.0834490606972675;2.0805197348398403;-159.22178142412463;40.778218575875385
2024-03-07_15:29:54:735339;59.90854626666667;10.720154783333333;0.0;59.90854626666667;10.720154783333333;0.0;1709821794.7337887;132.803;0.3774402831245386;0;-1.117;0.544;119.594;-3.239;-1.037;1.243;59.90854936666667;10.720146066666667;0.0;-0.31752055757773984;0.4578897159776501;2.331437387592672e-08;-4.242479442422261;-7.577889715977651;8.684644170424908;-2.081170238892815;2.0873090656300985;-158.5997953828067;41.4002046171933
2024-03-07_15:29:54:845596;59.908546183333335;10.7201552;0.0;59.908546183333335;10.7201552;0.0;1709821794.8445995;151.992;0.22646484611004544;0;-0.108;0.899;120.004;6.043;1.482;0.843;59.90854936666667;10.720146066666667;0.0;-0.34537323740242265;0.48773181925139053;2.6858772872451198e-08;-4.254626762597578;-7.6877318192513915;8.786527722242834;-2.076269652294305;2.0944649155632753;-157.93489350140825;42.06510649859174
2024-03-07_15:29:54:954902;59.90854598333333;10.720155633333334;0.0;59.90854598333333;10.720155633333334;0.0;1709821794.9533358;132.394;0.302844475722051;0;0.806;0.935;120.244;-2.383;-0.852;0.699;59.90854936666667;10.720146066666667;0.0;-0.35465746146505006;0.5110459610409992;2.879776994646477e-08;-4.285342538534951;-7.791045961041;8.89182533789494;-2.073665873983529;2.0986537057680614;-157.26647417813808;42.73352582186193
2024-03-07_15:29:55:063217;59.908545866666664;10.72015615;0.0;59.908545866666664;10.72015615;0.0;1709821795.0617435;143.801;0.29238794385902894;0;-0.763;0.908;120.401;-3.214;0.742;0.292;59.90854936666667;10.720146066666667;0.0;-0.37693960416474714;0.5352926704421792;3.2736071686745305e-08;-4.303060395835254;-7.89529267044218;8.991772635145079;-2.0698049565011485;2.1013938726936927;-156.5631599603928;43.436840039607205
2024-03-07_15:29:55:172102;59.90854566666667;10.7201565;0.0;59.90854566666667;10.7201565;0.0;1709821795.171065;158.288;0.2713569102286356;0;-0.423;1.17;120.597;2.68;0.018;1.104;59.90854936666667;10.720146066666667;0.0;-0.38993751936566534;0.5642022069006187;3.565016670759036e-08;-4.330062480634336;-8.00420220690062;9.100367797795315;-2.066683115590733;2.1048147180276016;-155.87833476636246;44.12166523363756
2024-03-07_15:29:55:282530;59.908545466666666;10.720156816666666;0.0;59.908545466666666;10.720156816666666;0.0;1709821795.2810066;126.804;0.2589411034184194;0;-0.336;1.094;121.05;-1.653;-0.44;0.944;59.90854936666667;10.720146066666667;0.0;-0.4122196622236903;0.5837860886094873;3.949672058856102e-08;-4.34778033777631;-8.103786088609489;9.19644185734325;-2.063225304311423;2.112721059539136;-155.24659529199954;44.75340470800046
2024-03-07_15:29:55:392666;59.908545466666666;10.72015725;0.0;59.908545466666666;10.72015725;0.0;1709821795.39167;145.763;0.2191031872397716;0;-0.288;0.273;121.333;2.7;-2.97;0.843;59.90854936666667;10.720146066666667;0.0;-0.43450180520620674;0.6015048393080672;4.1118350113666935e-08;-4.365498194793794;-8.201504839308068;9.29097713472278;-2.059933339108172;2.1176603413222796;-154.5757149784635;45.42428502153649
2024-03-07_15:29:55:500688;59.908545466666666;10.72015725;0.0;59.908545466666666;10.72015725;0.0;1709821795.4991596;149.039;0.0;0;0.102;0.015;121.429;3.455;-1.641;0.887;59.90854936666667;10.720146066666667;0.0;-0.4345018010556597;0.6257515460266221;4.352351071212901e-08;-4.405498198944341;-8.305751546026624;9.401804248399639;-2.058479122807005;2.1193358574041943;-153.89676171896735;46.10323828103266
2024-03-07_15:29:55:608761;59.90854535;10.7201575;0.0;59.90854535;10.7201575;0.0;1709821795.6072183;148.315;0.17671063339711335;0;0.357;-0.009;121.493;3.151;0.073;0.867;59.90854936666667;10.720146066666667;0.0;-0.4345018010556597;0.6257515460266221;4.352351071212901e-08;-4.445498198944341;-8.385751546026624;9.491221377067616;-2.0582526434704085;2.120452868125471;-153.4328030662444;46.5671969337556
2024-03-07_15:29:55:718837;59.9085452;10.720157766666667;0.0;59.9085452;10.720157766666667;0.0;1709821795.717131;146.263;0.2038298435364382;0;0.6;0.255;121.582;1.519;3.113;0.745;59.90854936666667;10.720146066666667;0.0;-0.44749971755907747;0.6397400328735308;4.675922476993222e-08;-4.472500282440923;-8.479740032873533;9.586931198332039;-2.056149231231085;2.1220062111597455;-153.42455202816865;46.575447971831345
2024-03-07_15:29:55:828302;59.9085452;10.720157766666667;0.0;59.9085452;10.720157766666667;0.0;1709821795.827306;144.18;0.0;0;0.62;0.614;121.637;0.003;4.798;0.689;59.90854936666667;10.720146066666667;0.0;-0.46421132604230564;0.6546610862083356;4.940600081826396e-08;-4.495788673957695;-8.574661086208337;9.681783334914174;-2.0537030062160375;2.122966142248343;-153.40225761927192;46.59774238072808
