;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2024-03-22_12:42:29:160120;59.90744566666667;10.71776035;0.0;59.90744566666667;10.71776035;0.0;1711107749.1598358;49.54;1321986.7738512421;0.74;1.427;-2.083;121.049;-5.301;-1.466;-2.542;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;;;;;;;;;;;
2024-03-22_12:42:32:169952;59.9074465;10.717762233333334;0.0;59.9074465;10.717762233333334;0.0;1711107752.168906;52.12;0.046674602722144416;0.74;-1.618;1.099;119.658;-6.457;9.228;-3.793;59.90744566666667;10.71776035;0.0;-133.35741681856285;-95.04090736982963;0.002099337918664901;153.87328891470014;1081.5120936857393;138.35741681841478;95.04098433134696;167.85578182277757;0.6018958857837559;2.0884260763513747;144.9983829489981;-55.001617051001894;4.999999999851923;7.696151733379444e-05
2024-03-22_12:42:32:272642;59.907447383333334;10.717764683333334;0.0;59.907447383333334;10.717764683333334;0.0;1711107752.269701;52.65;1.6743386802359177;0.74;-1.835;1.048;117.363;3.33;-3.144;-6.658;59.90744566666667;10.71776035;0.0;0.0928422635879855;0.10538339976802327;1.9926194444463974e-09;1109.5232428611023;0.954929658551372;4.9067964186214725;0.014835488394609617;4.906818845801465;0.003023447871889632;2.048370770018105;8.018194553601885;117.43938152118467;4.999638682209458;0.12021888816263289
2024-03-22_12:42:32:371244;59.9074483;10.717767;0.0;59.9074483;10.717767;0.0;1711107752.369421;55.34;1.6549496608216387;0.74;0.549;1.462;115.59;10.72;2.613;-4.793;59.90744566666667;10.71776035;0.0;0.19125506498781641;0.24247507247341898;7.672963334148797e-09;179.43398793241317;179.43398793241317;4.807300942337415;-0.0021469179100741254;4.807301421739093;-0.000446595250244081;2.0174260823802457;7.824136362680939;0.0;4.998556007325231;0.24032815456334486
2024-03-22_12:42:32:471537;59.90744865;10.717767933333333;0.0;59.90744865;10.717767933333333;0.0;1711107752.4695902;52.16;0.6506834140750293;0.74;1.597;0.496;113.959;-8.007;-3.967;-3.103;59.90744566666667;10.71776035;0.0;0.2933815643053822;0.37210596660198686;1.78786395965691e-08;176.645972527036;176.645972527036;4.70337033638286;-0.011670920690527053;4.703384816444003;-0.0024813901313409724;1.988959762280218;7.582885044925778;0.0;4.996751900688242;0.3604350459114598
2024-03-22_12:42:32:571837;59.907449383333336;10.7177698;0.0;59.907449383333336;10.7177698;0.0;1711107752.5697134;53.52;1.324493020914567;0.74;-2.058;1.587;112.24;-2.026;4.098;-4.872;59.90744566666667;10.71776035;0.0;0.33237531851238755;0.42433136078071054;2.255219969105049e-08;178.23805290950617;178.23805290950617;4.661850947349428;0.05620586932899252;4.662189759656913;0.012055972365726026;1.9589575524384355;7.7201875413807866;0.0;4.9942262658618155;0.48053723010970306
2024-03-22_12:42:32:671714;59.9074503;10.717771916666667;0.0;59.9074503;10.717771916666667;0.0;1711107752.6697638;53.43;1.5631510736183698;0.74;-1.554;0.424;110.774;0.553;-6.619;-3.245;59.90744566666667;10.71776035;0.0;0.41407652218899005;0.528782145663263;3.48859805765489e-08;176.18898774630898;176.18898774630898;4.576902771473021;0.07183993216670359;4.577466543337169;0.01569490043422658;1.9333710256041987;7.54370180540919;0.0;4.990979293662011;0.6006220778299666
2024-03-22_12:42:32:771675;59.90745105;10.717774483333333;0.0;59.90745105;10.717774483333333;0.0;1711107752.769869;55.87;1.6598756256631597;0.74;-0.541;0.446;109.894;7.384;8.577;-3.386;59.90744566666667;10.71776035;0.0;0.5162030271069775;0.6472218676792943;5.479555939547076e-08;171.764974312893;171.764974312893;4.470808373097137;0.07345509747964496;4.471411763671649;0.01642845831492365;1.9180121281866487;7.169621180410244;0.0;4.987011400204114;0.7206769651589393
2024-03-22_12:42:32:872028;59.90745186666667;10.717776716666666;0.0;59.90745186666667;10.717776716666666;0.0;1711107752.8700483;60.75;1.5430939112428739;0.74;2.329;4.441;107.308;3.32;-1.489;-6.245;59.90744566666667;10.71776035;0.0;0.5997610900778515;0.7908416879247148;7.86106483241511e-08;169.67964046430478;169.67964046430478;4.382560092207797;0.04989618322082512;4.382844121219966;0.011384676183974445;1.8728779137300753;6.996590604963672;0.0;4.982321182285649;0.8407378711455399
2024-03-22_12:42:32:971855;59.90745261666667;10.71777925;0.0;59.90745261666667;10.71777925;0.0;1711107752.9700625;63.18;1.6452938747863437;0.74;0.002;-2.775;105.86;-12.094;-23.108;-1.916;59.90744566666667;10.71776035;0.0;0.6907465358231166;0.9158095737063721;1.0390742694044164e-07;165.7456599430911;165.7456599430911;4.2861649948214975;0.04492228107845708;4.286400398256148;0.01048037963793552;1.8476055461611973;6.675923054251647;0.0;4.976911530644614;0.9607318547848291
2024-03-22_12:42:33:072146;59.907453233333335;10.717782283333333;0.0;59.907453233333335;10.717782283333333;0.0;1711107753.0702138;66.96;1.828377163496477;0.74;-3.064;0.557;105.41;2.583;28.521;-0.215;59.90744566666667;10.71776035;0.0;0.774304606940828;1.057564188494287;1.356728699941634e-07;160.58786058954055;160.58786058954055;4.19647668291262;0.023127568131736886;4.196540412606198;0.005511131296774188;1.8397515645272227;6.266894976103913;0.0;4.9707812898534485;1.080691756626024
2024-03-22_12:42:33:172201;59.9074535;10.717783733333334;0.0;59.9074535;10.717783733333334;0.0;1711107753.1704166;71.3;0.862317917606188;0.74;-1.269;5.406;104.501;12.851;17.939;-5.752;59.90744566666667;10.71776035;0.0;0.8430079325049578;1.2272966898331183;1.7390946643880412e-07;156.2199166388789;156.2199166388789;4.120923030201101;-0.026688295598644052;4.121009449875574;-0.006476200183609845;1.8238865216265945;5.930615870772439;0.0;4.963930962706058;1.2006083942344743
2024-03-22_12:42:33:272179;59.9074535;10.717783733333334;0.0;59.9074535;10.717783733333334;0.0;1711107753.2703679;70.27;0.0;0.74;0.135;6.172;103.584;11.843;0.978;-7.707;59.90744566666667;10.71776035;0.0;0.8727174844930988;1.3084325548774953;1.9409525059410626e-07;155.52557956974283;155.52557956974283;4.0836427845066074;0.01205402736784933;4.083660574904416;0.002951774431583445;1.8078818523858065;5.878014443074706;0.0;4.956360268999706;1.3204865822453447
2024-03-22_12:42:33:372408;59.90745388333333;10.717785233333334;0.0;59.90745388333333;10.717785233333334;0.0;1711107753.3704548;70.27;0.9409512484939769;0.74;0.703;5.516;102.98;6.781;-10.709;-7.161;59.90744566666667;10.71776035;0.0;0.8727174844930988;1.3084325548774953;1.9409525059410626e-07;157.716717512493;157.716717512493;4.075352466166371;0.13188173151859894;4.077485808019038;0.03234952682398134;1.7973400637037606;6.044807170907198;0.0;4.94806995065947;1.4403142863960943
2024-03-22_12:42:33:472814;59.90745388333333;10.717785233333334;0.0;59.90745388333333;10.717785233333334;0.0;1711107753.4706855;64.59;0.0;0.74;0.736;3.016;102.186;-1.473;-24.812;-5.848;59.90744566666667;10.71776035;0.0;0.9154249535515391;1.3923662022427785;2.1848934572687995e-07;155.81956693067713;155.81956693067713;4.0236344895674785;0.16773268044588852;4.02712909623301;0.041662735628605216;1.7834821494429258;5.900257667906472;0.0;4.939059443119017;1.560098882688667
2024-03-22_12:42:33:572496;59.90745438333333;10.71778705;0.0;59.90745438333333;10.71778705;0.0;1711107753.5707288;64.59;1.1586898497988762;0.74;0.428;0.771;101.695;-3.961;-28.583;-5.8;59.90744566666667;10.71776035;0.0;0.9154249535515391;1.3923662022427785;2.1848934572687995e-07;158.03690220902354;158.03690220902354;4.01390544838137;0.28745216013829755;4.024185096751119;0.07149203278449313;1.7749125828156334;6.069375515823006;0.0;4.9293304019329085;1.679818362381076
2024-03-22_12:42:33:672398;59.90745438333333;10.71778705;0.0;59.90745438333333;10.71778705;0.0;1711107753.6706922;61.44;0.0;0.74;-0.027;-2.231;100.85;-3.177;-22.36;-7.238;59.90744566666667;10.71776035;0.0;0.9711303508287142;1.4940191710046826;2.4817031862856e-07;154.72886833658183;154.72886833658183;3.9477524973633518;0.30545466320351977;3.9595520367475103;0.0772204640114113;1.7601645506362813;5.81794605900724;0.0;4.918882848192066;1.7994738342082024
