;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2024-04-23_12:36:22:131482;1713868582.1314826;59.88159773333334;10.7434036;0.0;59.88159773333334;10.7434036;0.0;1713868582.1314826;121.357;3194640.1878458145;0;0.0;0.0;0.0;0.0;0.0;0.0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1713868580.4097216;1.7217609882354736;0.0;0.0;-0.0;-0.0;;;;;;;;;;;
2024-04-23_12:36:25:151632;1713868585.1506078;59.88159708333333;10.743405383333334;0.0;59.88159708333333;10.743405383333334;0.0;1713868585.1506078;126.172;0.04085894931112227;0.91;-0.511;-0.913;155.718;-4.635;-2.971;-0.061;59.88159773333334;10.7434036;0.0;-3012.8470911603367;1340.888472774001;0.8516044861974024;1713868582.1314826;3.01912522315979;0.0;0.0;-0.0;-0.0;0.954929658551372;999.5635561718739;3012.8470911603367;-1350.888472774001;3301.839981069188;-0.4215026261387835;2.71779180462053;-54.282899816678885;-74.4640638976109;-0.15;-10.0
2024-04-23_12:36:25:260226;1713868585.2592664;59.881596466666664;10.743407116666667;0.0;59.881596466666664;10.743407116666667;0.0;1713868585.2587264;119.87;1.0998972630674315;0.91;-0.258;1.623;154.831;4.092;8.304;-3.946;59.88159773333334;10.7434036;0.0;-0.07241667634670858;0.0998653660238337;6.300528293534668e-10;1713868585.1506078;0.1086585521697998;0.0;0.0;-0.0;-0.0;1094.55320343148;0.954929658551372;-0.07758332365329142;-10.099865366023833;10.100163344417595;-1.578477795299881;2.7023107341553403;0.0;200.0;-0.3;-10.0
2024-04-23_12:36:25:368437;1713868585.3668895;59.88159588333333;10.743408833333334;0.0;59.88159588333333;10.743408833333334;0.0;1713868585.3668895;119.955;1.0728124745437713;0.91;-1.111;0.587;154.016;-5.85;-7.361;-0.994;59.88159773333334;10.7434036;0.0;-0.14111967490814514;0.19693077222122665;4.0604602249971755e-09;1713868585.2592664;0.10762310028076172;0.0;0.0;-0.0;-0.0;920.1748233808255;0.954929658551372;-0.15888032509185485;-10.196930772221227;10.198168469444575;-1.5863762569917121;2.6880863007515865;-78.3586554249346;50.32479129142816;-0.44999999999999996;-10.0
2024-04-23_12:36:25:477353;1713868585.4763558;59.88159518333333;10.743410833333334;0.0;59.88159518333333;10.743410833333334;0.0;1713868585.4763558;125.194;1.2467389692723514;0.91;-0.957;0.055;153.423;8.118;4.684;-2.511;59.88159773333334;10.7434036;0.0;-0.20610899223995607;0.2930628606827018;1.1212636888413563e-08;1713868585.3668895;0.1094663143157959;0.0;0.0;-0.0;-0.0;923.7052546943107;0.954929658551372;-0.24389100776004388;-10.293062860682701;10.295951917022135;-1.5944865911164532;2.6777364982872602;-78.96337699870267;50.71078886205959;-0.6;-10.0
2024-04-23_12:36:25:584854;1713868585.5828936;59.8815946;10.743412316666667;0.0;59.8815946;10.743412316666667;0.0;1713868585.5828936;119.897;0.9899585730674503;0.91;1.138;1.36;152.407;-2.678;-1.442;-2.157;59.88159773333334;10.7434036;0.0;-0.28409617475140414;0.40506141456198447;1.9662711236989594e-08;1713868585.4763558;0.1065378189086914;0.0;0.0;-0.0;-0.0;939.051530071481;0.954929658551372;-0.31590382524859584;-10.405061414561985;10.409855823574759;-1.6011475955884675;2.660003953086998;-79.81079929916281;53.12005150294024;-0.75;-10.0
2024-04-23_12:36:25:692652;1713868585.6916676;59.88159423333333;10.743413283333334;0.0;59.88159423333333;10.743413283333334;0.0;1713868585.6916676;120.88;0.6234642095649784;0.91;-2.21;0.62;151.671;-5.774;1.794;-1.568;59.88159773333334;10.7434036;0.0;-0.34908549029057595;0.48812701288014726;2.7854813788863453e-08;1713868585.5828936;0.10877394676208496;0.0;0.0;-0.0;-0.0;938.103999034182;0.954929658551372;-0.40091450970942405;-10.488127012880147;10.495786806257156;-1.6090032830071548;2.6471583297923194;-78.98963324654108;53.273678968826566;-0.9;-10.0
2024-04-23_12:36:25:802031;1713868585.8010697;59.88159353333333;10.74341545;0.0;59.88159353333333;10.74341545;0.0;1713868585.8010697;131.229;1.3183817361033026;0.91;-0.425;1.723;151.036;10.389;0.235;-1.698;59.88159773333334;10.7434036;0.0;-0.3899359151969062;0.5422596511870534;3.533565023916552e-08;1713868585.6916676;0.10940217971801758;0.0;0.0;-0.0;-0.0;938.7977559985515;0.954929658551372;-0.5100640848030938;-10.542259651187054;10.554591603830657;-1.6191414309244387;2.6360754890421556;-78.35128183536808;53.650817118864374;-1.05;-10.0
2024-04-23_12:36:25:910095;1713868585.9091182;59.881592633333334;10.74341715;0.0;59.881592633333334;10.74341715;0.0;1713868585.9091182;122.172;1.279641386638064;0.91;0.803;0.605;150.547;-2.177;-3.713;-1.455;59.88159773333334;10.7434036;0.0;-0.4679230875933518;0.6635914288967073;5.1806898743178564e-08;1713868585.8010697;0.1080484390258789;0.0;0.0;-0.0;-0.0;952.5130112172027;0.954929658551372;-0.5820769124066483;-10.663591428896707;10.679466077215478;-1.6253276574844278;2.627540828999903;-81.72011855253687;54.810078048497424;-1.2;-10.0
2024-04-23_12:36:26:020237;1713868586.0186799;59.881591766666666;10.743419533333334;0.0;59.881591766666666;10.743419533333334;0.0;1713868586.0186799;129.229;1.5035337748142856;0.91;-1.148;0.883;149.809;-2.979;2.819;-1.534;59.88159773333334;10.7434036;0.0;-0.568192313725306;0.7587902198099973;6.97704404528654e-08;1713868585.9091182;0.10956168174743652;0.0;0.0;-0.0;-0.0;961.3647621157448;0.954929658551372;-0.631807686274694;-10.758790219809997;10.77732563980114;-1.6294537490805787;2.6146602991201853;-80.75845064999484;56.81611258156038;-1.3499999999999999;-10.0
2024-04-23_12:36:26:128243;1713868586.1272461;59.88159078333333;10.743421716666667;0.0;59.88159078333333;10.743421716666667;0.0;1713868586.1272461;131.064;1.512133454361171;0.91;-0.391;1.214;149.069;3.632;-1.308;-1.798;59.88159773333334;10.7434036;0.0;-0.6647478536378536;0.892255189476453;9.650373888892005e-08;1713868586.0186799;0.1085662841796875;0.0;0.0;-0.0;-0.0;971.6682716978534;0.954929658551372;-0.6852521463621463;-10.892255189476453;10.913789150280055;-1.6336253939954974;2.6017448626554267;-82.70437116529101;57.95930076698286;-1.4999999999999998;-10.0
2024-04-23_12:36:26:235854;1713868586.2348497;59.88158966666667;10.74342385;0.0;59.88158966666667;10.74342385;0.0;1713868586.2343569;128.003;1.6102947846119293;0.91;0.198;0.791;148.585;0.388;-0.602;-1.305;59.88159773333334;10.7434036;0.0;-0.774301257376207;1.0145203133175331;1.2747367578169744e-07;1713868586.1272461;0.10760354995727539;0.0;0.0;-0.0;-0.0;975.1024492671789;0.954929658551372;-0.7256987426237927;-11.014520313317533;11.038400989161895;-1.6365868816539815;2.593297469075775;-82.83450414535156;58.54964197962865;-1.6499999999999997;-10.0
2024-04-23_12:36:26:346059;1713868586.3450627;59.8815892;10.743424866666667;0.0;59.8815892;10.743424866666667;0.0;1713868586.3450627;125.221;0.6964415222126881;0.91;0.078;0.794;148.403;-1.536;0.167;-1.423;59.88159773333334;10.7434036;0.0;-0.8987093611718611;1.1339854847803705;1.6443885397787739e-07;1713868586.2348497;0.11021304130554199;0.0;0.0;-0.0;-0.0;978.5613137316785;0.954929658551372;-0.7512906388281386;-11.133985484780371;11.159304207668631;-1.6381714362221138;2.5901209698371446;-83.40801478529768;58.97175084233676;-1.7999999999999996;-10.0
2024-04-23_12:36:26:454408;1713868586.452416;59.8815892;10.743424866666667;0.0;59.8815892;10.743424866666667;0.0;1713868586.452416;124.924;0.0;0.91;-0.299;0.79;148.24;-3.681;-0.287;-1.167;59.88159773333334;10.7434036;0.0;-0.9507008038752285;1.1909181062879424;1.8223458309041263e-07;1713868586.3450627;0.10735321044921875;0.0;0.0;-0.0;-0.0;975.1091558736306;0.954929658551372;-0.8492991961247711;-11.190918106287942;11.223099268302917;-1.6465429516235752;2.5872760831563943;-82.27729311714528;58.77099581243918;-1.9499999999999995;-10.0
2024-04-23_12:36:26:563118;1713868586.5615766;59.881588783333335;10.743425933333333;0.0;59.881588783333335;10.743425933333333;0.0;1713868586.5615766;124.329;0.6930128943107272;0.91;-0.659;0.725;148.145;-4.56;-0.991;-1.093;59.88159773333334;10.7434036;0.0;-0.9507008038752285;1.1909181062879424;1.8223458309041263e-07;1713868586.452416;0.1091606616973877;0.0;0.0;-0.0;-0.0;971.9533570762474;0.954929658551372;-0.999299196124771;-11.190918106287942;11.235446005611834;-1.6598556681274008;2.585618020367;-81.31281005376921;58.56215505018539;-2.0999999999999996;-10.0
2024-04-23_12:36:26:671588;1713868586.6705985;59.881588783333335;10.743425933333333;0.0;59.881588783333335;10.743425933333333;0.0;1713868586.6705985;124.752;0.0;0.91;-1.205;0.54;147.983;-4.173;-1.705;-1.411;59.88159773333334;10.7434036;0.0;-0.9971217297892432;1.2506506913940376;2.0052709465145924e-07;1713868586.5615766;0.10902190208435059;0.0;0.0;-0.0;-0.0;986.9164717913995;0.954929658551372;-1.1028782702107565;-11.250650691394037;11.30457789829714;-1.6685120798238162;2.582790586978769;-84.44169677324864;60.13977557317846;-2.2499999999999996;-10.0
2024-04-23_12:36:26:779063;1713868586.7780404;59.88158833333333;10.743427066666667;0.0;59.88158833333333;10.743427066666667;0.0;1713868586.7780404;126.419;0.7527686274343203;0.91;-1.458;0.406;147.842;-2.705;-1.587;-1.788;59.88159773333334;10.7434036;0.0;-0.9971217297892432;1.2506506913940376;2.0052709465145924e-07;1713868586.6705985;0.10744190216064453;0.0;0.0;-0.0;-0.0;984.3464013525529;0.954929658551372;-1.2528782702107564;-11.250650691394037;11.320196329557692;-1.6816999049267318;2.580329672733457;-83.34362937501803;60.08720168442478;-2.3999999999999995;-10.0
2024-04-23_12:36:26:885998;1713868586.8850043;59.88158833333333;10.743427066666667;0.0;59.88158833333333;10.743427066666667;0.0;1713868586.8844595;128.277;0.0;0.91;-1.476;0.314;147.585;1.216;-0.269;-2.124;59.88159773333334;10.7434036;0.0;-1.047256330806357;1.314116565287713;2.208052606311739e-07;1713868586.7780404;0.1069638729095459;0.0;0.0;-0.0;-0.0;1000.357885704696;0.954929658551372;-1.3527436691936425;-11.314116565287712;11.394698288566543;-1.6897939068706216;2.5758441765558313;-86.50272686111593;61.889720940348155;-2.5499999999999994;-10.0
2024-04-23_12:36:26:995093;1713868586.994133;59.881587833333334;10.743428116666667;0.0;59.881587833333334;10.743428116666667;0.0;1713868586.994133;130.51;0.7385228269886377;0.91;-0.742;0.463;147.3;6.266;1.504;-1.299;59.88159773333334;10.7434036;0.0;-1.047256330806357;1.314116565287713;2.208052606311739e-07;1713868586.8850043;0.10912871360778809;0.0;0.0;-0.0;-0.0;997.9862228859553;0.954929658551372;-1.5027436691936424;-11.314116565287712;11.413477655308192;-1.702843693512029;2.570869988187648;-85.0803051447142;61.99664465838769;-2.6999999999999993;-10.0
2024-04-23_12:36:27:104552;1713868587.1035578;59.881587833333334;10.743428116666667;0.0;59.881587833333334;10.743428116666667;0.0;1713868587.1035578;130.281;0.0;0.91;0.301;0.752;147.176;5.872;1.712;-0.404;59.88159773333334;10.7434036;0.0;-1.1029614466483237;1.3729158355082258;2.428029535761489e-07;1713868586.994133;0.10942482948303223;0.0;0.0;-0.0;-0.0;1010.1449279245904;0.954929658551372;-1.5970385533516755;-11.372915835508225;11.484500282661207;-1.7103088021956152;2.5687057799151742;-88.06335882151235;63.16204635474732;-2.849999999999999;-10.0
2024-04-23_12:36:27:213137;1713868587.2121122;59.88158731666667;10.743429033333333;0.0;59.88158731666667;10.743429033333333;0.0;1713868587.2111099;129.389;0.7171042372069222;0.91;0.48;0.812;147.16;4.654;1.499;-0.331;59.88159773333334;10.7434036;0.0;-1.1029614466483237;1.3729158355082258;2.428029535761489e-07;1713868587.1035578;0.10855436325073242;0.0;0.0;-0.0;-0.0;1006.3917239675751;0.954929658551372;-1.7470385533516755;-11.372915835508225;11.506318190822416;-1.7232188147841985;2.5684265272348554;-87.31484672193302;62.73121406316469;-2.999999999999999;-10.0
2024-04-23_12:36:27:322825;1713868587.3218293;59.88158731666667;10.743429033333333;0.0;59.88158731666667;10.743429033333333;0.0;1713868587.3208678;124.235;0.0;0.91;0.501;0.94;147.096;-2.353;0.303;-0.342;59.88159773333334;10.7434036;0.0;-1.160523400867037;1.4242485367861015;2.6423808430209306e-07;1713868587.2121122;0.10971713066101074;0.0;0.0;-0.0;-0.0;1020.4158546285757;0.954929658551372;-1.839476599132962;-11.424248536786102;11.571392690122359;-1.7304412007355248;2.567309516513579;-89.99361102678677;64.40153053201205;-3.149999999999999;-10.0
2024-04-23_12:36:27:431568;1713868587.4305747;59.88158683333333;10.743430033333333;0.0;59.88158683333333;10.743430033333333;0.0;1713868587.4305747;123.092;0.7081494247597327;0.91;0.338;0.939;147.075;-3.862;-0.022;-0.41;59.88159773333334;10.7434036;0.0;-1.160523400867037;1.4242485367861015;2.6423808430209306e-07;1713868587.3218293;0.10874533653259277;0.0;0.0;-0.0;-0.0;1018.1199012774772;0.954929658551372;-1.989476599132962;-11.424248536786102;11.596183500133009;-1.743212350455252;2.56694299737066;-89.58824214811034;64.11238324460335;-3.299999999999999;-10.0
2024-04-23_12:36:27:541513;1713868587.5405104;59.88158683333333;10.743430033333333;0.0;59.88158683333333;10.743430033333333;0.0;1713868587.5405104;121.589;0.0;0.91;-0.36;0.849;146.977;-6.126;-1.125;-0.872;59.88159773333334;10.7434036;0.0;-1.2143716773651771;1.4802478453087615;2.862826659066897e-07;1713868587.4305747;0.10993576049804688;0.0;0.0;-0.0;-0.0;1032.6232269115258;0.954929658551372;-2.085628322634822;-11.480247845308762;11.66815907030295;-1.7505073691392432;2.565232574703706;-92.47436760731199;65.82734290184997;-3.449999999999999;-10.0
