;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2024-04-23_16:02:59:883945;1713880979.882986;59.878375166666665;10.736924983333333;0.0;59.878375166666665;10.736924983333333;0.0;1713880979.882986;41.087;1748094.3690183382;0;0.0;0.0;0.0;0.0;0.0;0.0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1713880976.7324727;3.1505134105682373;0.0;0.0;0.0;-0.0;;;;;;;;;;;
2024-04-23_16:03:02:915694;1713880982.9148905;59.878375633333334;10.73692685;0.0;59.878375633333334;10.73692685;0.0;1713880982.9139235;54.129;0.03852168911843654;0.80;-0.432;0.845;4.608;-4.591;1.754;0.47;59.878375166666665;10.736924983333333;0.0;-3371.9874142418107;978.1853634835834;0.9654428095111598;1713880979.882986;3.031904458999634;0.0;0.0;0.0;-0.0;861.527523551451;926.303423800971;3406.9874142418107;-998.1853634835834;3550.202425309711;-0.285005722940069;0.0804247719318987;194.44180217299737;-5.55819782700263;35.0;-20.0
2024-04-23_16:03:03:025790;1713880983.023698;59.878376016666664;10.736928883333334;0.0;59.878376016666664;10.736928883333334;0.0;1713880983.023698;51.353;1.1079169224565042;0.80;-1.971;2.122;4.482;-2.855;-2.076;-0.659;59.878375166666665;10.736924983333333;0.0;0.05199143673936012;0.10454208602375947;1.25631754652189e-09;1713880982.9148905;0.10880756378173828;0.0;0.0;0.0;-0.0;796.3676138948948;951.2565452923501;34.94757036527858;-19.88499349001363;40.208775665692464;-0.517309667586084;0.07822565707438585;187.0084037483006;-12.991596251699413;34.999561802017936;-19.780451403989872
2024-04-23_16:03:03:134415;1713880983.1324203;59.8783764;10.7369305;0.0;59.8783764;10.7369305;0.0;1713880983.1324203;46.177;0.9207665341918776;0.80;-1.3;-1.666;5.0;7.396;-7.078;3.23;59.878375166666665;10.736924983333333;0.0;0.09469869092723603;0.2184182845229773;4.054663646502199e-09;1713880983.023698;0.10872220993041992;0.0;0.0;0.0;-0.0;829.4088977761932;938.9313460251484;34.90356528724627;-19.781429283354818;40.11936956450625;-0.5156084762585528;0.08726646259971647;190.704707381231;-9.29529261876899;34.99826397817351;-19.563010998831842
2024-04-23_16:03:03:243048;1713880983.2420485;59.8783768;10.736932433333333;0.0;59.8783768;10.736932433333333;0.0;1713880983.2420485;49.372;1.0680460256813167;0.80;1.811;0.412;5.326;8.03;14.19;-2.127;59.878375166666665;10.736924983333333;0.0;0.13740594865414876;0.3089591937176944;8.906302577382785e-09;1713880983.1324203;0.10962820053100586;0.0;0.0;0.0;-0.0;829.5379016551514;938.8819190546365;34.85867896995389;-19.652724765138036;40.01696003227351;-0.513363421988577;0.09295623596121798;190.71943339180643;-9.280566608193574;34.99608491860804;-19.34376557142034
2024-04-23_16:03:03:352571;1713880983.3505778;59.878377183333335;10.736934183333334;0.0;59.878377183333335;10.736934183333334;0.0;1713880983.3505778;50.446;0.9850693765833215;0.80;0.59;2.864;4.839;-10.9;-3.799;1.193;59.878375166666665;10.736924983333333;0.0;0.18197004623089674;0.4172349181099709;1.7325180096117165e-08;1713880983.2420485;0.10852932929992676;0.0;0.0;0.0;-0.0;832.9578646473324;937.5678258062475;34.811096753864014;-19.54396295571857;39.92216107904708;-0.5115755905312874;0.08445648250400561;191.11066310797713;-8.889336892022863;34.99306680009491;-19.126728037608597
2024-04-23_16:03:03:459954;1713880983.4589283;59.87837765;10.736936066666667;0.0;59.87837765;10.736936066666667;0.0;1713880983.4589283;46.258;1.0853046528027206;0.80;-3.128;-0.331;5.466;-0.605;-6.874;0.655;59.878375166666665;10.736924983333333;0.0;0.22467730959001392;0.5152431145306171;2.544453441000183e-08;1713880983.3505778;0.10835051536560059;0.0;0.0;0.0;-0.0;828.8911673475696;939.1296074814828;34.76452194281529;-19.425304777161177;39.823541424615755;-0.5095500008890333;0.09539969691401005;190.64563061857962;-9.35436938142039;34.98919925240531;-18.91006166263056
2024-04-23_16:03:03:571612;1713880983.568625;59.878378266666665;10.736938166666667;0.0;59.878378266666665;10.736938166666667;0.0;1713880983.568625;50.805;1.2416640510229748;0.80;-0.513;-0.808;5.75;13.412;5.369;1.28;59.878375166666665;10.736924983333333;0.0;0.2766687593606068;0.6207185983984506;3.641480722516022e-08;1713880983.4589283;0.10969662666320801;0.0;0.0;0.0;-0.0;829.3365487831918;938.9590615532309;34.70779245898095;-19.313421949319032;39.71950559571623;-0.5077876937727183;0.10035643198967395;190.69644962393386;-9.303550376066147;34.98446121834155;-18.69270335092058
2024-04-23_16:03:03:680871;1713880983.6773493;59.878378633333334;10.736939483333334;0.0;59.878378633333334;10.736939483333334;0.0;1713880983.6773493;29.776;0.7753432640955713;0.80;2.533;2.7;5.586;-3.829;4.678;-2.765;59.878375166666665;10.736924983333333;0.0;0.3453717483968234;0.7383284245832327;5.209377046400121e-08;1713880983.568625;0.10872435569763184;0.0;0.0;0.0;-0.0;830.9898644331812;938.3248992083286;34.633436194721284;-19.21167287936897;39.60509156002182;-0.5064556618391182;0.09749409201640326;190.88533534728305;-9.114664652716945;34.978807943118106;-18.473344454785735
2024-04-23_16:03:03:790408;1713880983.7884195;59.87837995;10.736942066666666;0.0;59.87837995;10.736942066666666;0.0;1713880983.7874212;37.951;1.8718113115781327;0.80;-3.149;1.426;5.353;-16.112;-6.652;1.929;59.878375166666665;10.736924983333333;0.0;0.38622217746637666;0.8120679169372227;6.417874992559192e-08;1713880983.6773493;0.11107015609741211;0.0;0.0;0.0;-0.0;832.2570059688039;937.837715753282;34.58603476339333;-19.06536621713229;39.4928093410436;-0.5037982849732479;0.09342747485925645;191.03035662321992;-8.969643376780095;34.97225694085971;-18.253298300195066
