;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N
2024-03-07_11:59:47:796016;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;;;;;;;
2024-03-07_11:59:53:834321;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;-5403667.344084047;-1186335.5269152317;3220066.8878556937;5403657.344084047;1186335.5269152317;5532350.736774983;0.21611442842214978;0.0;180.5497014420065;19.45029855799349
2024-03-07_11:59:54:052106;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-9.9;0.0;9.9;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:54:161300;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-9.8;0.0;9.8;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:54:271548;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-9.700000000000001;0.0;9.700000000000001;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:54:334081;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-9.600000000000001;0.0;9.600000000000001;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:54:491318;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-9.500000000000002;0.0;9.500000000000002;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:54:600595;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-9.400000000000002;0.0;9.400000000000002;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:54:708188;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-9.300000000000002;0.0;9.300000000000002;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:54:817536;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-9.200000000000003;0.0;9.200000000000003;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:54:849521;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-9.100000000000003;0.0;9.100000000000003;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:55:037804;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-9.000000000000004;0.0;9.000000000000004;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:55:145717;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-8.900000000000004;0.0;8.900000000000004;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:55:255855;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-8.800000000000004;0.0;8.800000000000004;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:55:349667;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-8.700000000000005;0.0;8.700000000000005;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:55:472184;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-8.600000000000005;0.0;8.600000000000005;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:55:582766;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-8.500000000000005;0.0;8.500000000000005;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:55:691123;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-8.400000000000006;0.0;8.400000000000006;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:55:800378;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-8.300000000000006;0.0;8.300000000000006;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:55:862038;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-8.200000000000006;0.0;8.200000000000006;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:56:018404;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-8.100000000000007;0.0;8.100000000000007;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:56:128341;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-8.000000000000007;0.0;8.000000000000007;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:56:238032;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-7.9000000000000075;0.0;7.9000000000000075;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:56:346781;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-7.800000000000008;0.0;7.800000000000008;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:56:363033;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-7.700000000000008;0.0;7.700000000000008;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:56:563874;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-7.6000000000000085;0.0;7.6000000000000085;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:56:672888;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-7.500000000000009;0.0;7.500000000000009;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:56:783567;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-7.400000000000009;0.0;7.400000000000009;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:56:877039;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-7.30000000000001;0.0;7.30000000000001;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:57:001543;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-7.20000000000001;0.0;7.20000000000001;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:59:57:111347;0.0;0.0;0.0;0.0;0.0;0.0;1709809186.9542527;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-7.10000000000001;0.0;7.10000000000001;3.141592653589793;0.0;0.0;-200.0
