;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2024-03-22_12:23:26:138629;59.908146216666665;10.7192148;0.0;59.908146216666665;10.7192148;0.0;1711106606.1378899;27.786;27731.64481211905;0;0.0;0.0;0.0;0.0;0.0;0.0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;;;;;;;;;;;
2024-03-22_12:23:29:151466;59.908147416666665;10.7192163;0.0;59.908147416666665;10.7192163;0.0;1711106609.1504443;36.846;0.05239927198176193;0.76;-0.35;0.609;178.745;-11.363;-5.192;-4.103;59.908146216666665;10.7192148;0.0;-55.30983133680379;-13.655722632578872;0.0002542015681505916;0.954929658551372;1080.2357473032394;40.30983133680379;13.655722632578872;42.56009002597968;0.32663468172106275;3.1196887714772643;21.944628860503617;-103.34300132097947;-15.08;-0.16
2024-03-22_12:23:29:251631;59.90814843333333;10.719217816666667;0.0;59.90814843333333;10.719217816666667;0.0;1711106609.2505708;27.922;1.413566395930515;0.76;-2.192;-0.656;177.474;6.114;1.494;-4.239;59.908146216666665;10.7192148;0.0;0.1336928703803529;0.08393191244709433;2.8211201777428307e-09;1094.55320343148;0.954929658551372;-15.213692870380353;-0.24393191244709433;15.215648311267321;-3.1255603191377617;3.0975056366844163;0.0;200.0;-15.16;-0.32
2024-03-22_12:23:29:351686;59.908148966666666;10.7192184;0.0;59.908148966666666;10.7192184;0.0;1711106609.3506377;42.521;0.6774965305747361;0.76;0.552;0.881;175.653;4.309;4.575;-5.343;59.908146216666665;10.7192148;0.0;0.24696044435137135;0.1687963966581953;7.338358781749932e-09;577.3095305305634;412.171071218661;-15.406960444351371;-0.4887963966581953;15.414712194886866;-3.109877604857536;3.0657231910055995;61.138227832219016;7.842411110962925;-15.24;-0.48
2024-03-22_12:23:29:451837;59.90814998333333;10.7192202;0.0;59.90814998333333;10.7192202;0.0;1711106609.450741;49.865;1.5141682415473903;0.76;-0.686;0.732;173.65;-3.081;-2.278;-4.971;59.908146216666665;10.7192148;0.0;0.30637949935088427;0.20143658049903204;1.0775359271519847e-08;594.2503105173957;391.0116475928391;-15.546379499350884;-0.681436580499032;15.561306865140846;-3.097788199243324;3.0307642460881534;61.48479323968573;9.610636151986428;-15.32;-0.64
2024-03-22_12:23:29:552009;59.90815068333333;10.719222066666667;0.0;59.90815068333333;10.719222066666667;0.0;1711106609.5509095;36.267;1.3013461635432375;0.76;-0.129;1.629;172.082;4.147;6.99;-4.283;59.908146216666665;10.7192148;0.0;0.4196470771074257;0.30215486139975883;1.963906251511993e-08;608.5517997018316;375.8088093913106;-15.739647077107426;-0.9421548613997588;15.76781994743584;-3.0818052897056587;3.003397483416882;62.158423080063244;10.995751798735329;-15.4;-0.8
2024-03-22_12:23:29:652049;59.908151616666665;10.719223433333333;0.0;59.908151616666665;10.719223433333333;0.0;1711106609.6509092;46.719;1.2907804033619965;0.76;0.015;2.839;170.192;-3.025;-4.319;-6.148;59.908146216666665;10.7192148;0.0;0.4976345948949072;0.4066034467419171;3.1333519223686324e-08;627.72777296948;340.1083354185841;-15.897634594894907;-1.206603446741917;15.943358416296388;-3.0658395901960276;2.9704107605541896;61.93342868775981;13.360236485788981;-15.48;-0.9600000000000001
2024-03-22_12:23:29:752202;59.9081525;10.719225433333333;0.0;59.9081525;10.719225433333333;0.0;1711106609.7510264;44.027;1.4885366707307919;0.76;-1.055;0.167;167.54;0.203;-6.483;-6.704;59.908146216666665;10.7192148;0.0;0.6016179471022323;0.48307472351918623;4.806664849477116e-08;652.7711041855093;283.8454301695042;-16.08161794710223;-1.4430747235191863;16.146234869288275;-3.052097927755936;2.9241246287912994;61.56435554919003;16.5842101206813;-15.56;-1.12
2024-03-22_12:23:29:852333;59.90815325;10.719226933333333;0.0;59.90815325;10.719226933333333;0.0;1711106609.8511348;51.62;1.183073152861803;0.76;0.954;0.131;165.334;4.72;3.915;-6.048;59.908146216666665;10.7192148;0.0;0.7000307706173046;0.594983910059511;6.669401014791632e-08;665.1389598469395;249.056983087214;-16.260030770617306;-1.714983910059511;16.350222337117764;-3.0365088043538653;2.885622665492305;61.29228876654606;18.256279901912613;-15.64;-1.28
2024-03-22_12:23:29:952357;59.90815383333333;10.71922885;0.0;59.90815383333333;10.71922885;0.0;1711106609.9512086;68.218;1.2531032567271188;0.76;-0.492;1.102;162.607;-7.63;0.205;-5.695;59.908146216666665;10.7192148;0.0;0.7835888277408072;0.6789157942947515;8.481498214862881e-08;686.7051962172809;168.9012022868314;-16.423588827740808;-1.9589157942947515;16.540000636996062;-3.022878963005501;2.8380275367904195;60.764033314917796;21.26343929227007;-15.72;-1.44
2024-03-22_12:23:30:052413;59.90815426666666;10.7192307;0.0;59.90815426666666;10.7192307;0.0;1711106610.0512784;78.868;1.1414225162862166;0.76;-1.488;1.851;160.391;2.004;4.955;-6.346;59.908146216666665;10.7192148;0.0;0.8485784385223352;0.7861620942447125;1.052851797411769e-07;697.0894670115713;102.52521072454749;-16.568578438522337;-2.2261620942447125;16.717463597786576;-3.0080320555956503;2.7993510405662247;60.32096257496653;22.81779354685528;-15.8;-1.5999999999999999
